SEED,protected_att,target,method,k_parameter,anon_parameter,SPD,EOD,MAD,PED,PRD,ACC,f1,Precision,Recall,ROC_AUC,CM,ASF,ALF,NCF
0,sex,v_decile_score,k-anonymity,1,1,0.14040388521875696,0.03892698668818073,-0.05023813181748349,0.09241223865031709,-0.02170618986286843,0.8001893939393939,0.774813233724653,0.7874186550976139,0.7626050420168067,0.7968197623877137,"[[482  98]
 [113 363]]",1.8377898,2.288777353479264,0.2298444
0,sex,v_decile_score,k-anonymity,2,2,0.15054369164063436,0.08410649455425578,-0.033270172922961305,0.08427108038552758,-0.00962789487379656,0.7945075757575758,0.7628415300546447,0.7949886104783599,0.7331932773109243,0.7890104317589105,"[[490  90]
 [127 349]]",0.9186904,2.5542473766669365,0.2546928
0,sex,v_decile_score,k-anonymity,3,3,0.1809460405250849,0.10225897539330375,-0.055888427988597056,0.12633933827858237,-0.0835579514824798,0.7859848484848485,0.7488888888888889,0.7948113207547169,0.707983193277311,0.7789915966386556,"[[493  87]
 [139 337]]",0.44791436,3.2384795458800752,0.17641518
0,sex,v_decile_score,k-anonymity,4,4,0.1507826769771769,0.0862578996907356,-0.03774261279254376,0.08874535331617636,-0.012826385707741639,0.78125,0.7447513812154697,0.7855477855477856,0.707983193277311,0.7746812518110693,"[[488  92]
 [139 337]]",0.4445259,3.420122347718386,0.17640188
0,sex,v_decile_score,k-anonymity,5,5,0.15066318430890563,0.08518219712249564,-0.03550639285775248,0.08650821685085197,-0.011229946524064172,0.7878787878787878,0.7538461538461538,0.7903225806451613,0.7205882352941176,0.7818458417849898,"[[489  91]
 [133 343]]",0.44981188,3.409918785095215,0.1789285
0,sex,v_decile_score,k-anonymity,6,6,0.1365971902152575,0.03139706871050152,-0.031614345948345,0.09596137995996706,0.029783456749748916,0.7765151515151515,0.7743785850860421,0.7105263157894737,0.8508403361344538,0.783178788756882,"[[415 165]
 [ 71 405]]",0.35345754,2.1289968746197214,0.15401925
0,sex,v_decile_score,k-anonymity,7,7,0.1413086154213823,0.03637219308861095,-0.031614345948345,0.10043565289061579,0.02800880342870382,0.7765151515151515,0.7752380952380952,0.7090592334494773,0.8550420168067226,0.7835554911619821,"[[413 167]
 [ 69 407]]",0.34878466,2.2425427322279625,0.15287262
0,sex,v_decile_score,k-anonymity,8,8,0.15426503473822573,0.05129756622293935,-0.03043648964681378,0.11162133521723772,0.024284160927872445,0.7774621212121212,0.7785108388312912,0.705982905982906,0.8676470588235294,0.7855476673427992,"[[408 172]
 [ 63 413]]",0.34154096,2.017676522624321,0.15094292
0,sex,v_decile_score,k-anonymity,9,9,0.15426503473822573,0.05129756622293935,-0.03043648964681378,0.11162133521723772,0.024284160927872445,0.7774621212121212,0.7785108388312912,0.705982905982906,0.8676470588235294,0.7855476673427992,"[[408 172]
 [ 63 413]]",0.3416268,2.0391265711180613,0.15101655
0,sex,v_decile_score,k-anonymity,10,10,0.14955360953210084,0.05129756622293935,-0.025725064440689005,0.10267278935594021,0.03005389604457842,0.78125,0.7814569536423841,0.7108433734939759,0.8676470588235294,0.7889959432048681,"[[412 168]
 [ 63 413]]",0.34027228,2.0108207476581446,0.15064187
0,sex,v_decile_score,k-anonymity,25,25,0.5410969426947304,0.7345031598762942,0.051006298970656005,0.35856419572420983,-0.011707988980716233,0.6931818181818182,0.6645962732919256,0.6551020408163265,0.6743697478991597,0.691495218777166,"[[411 169]
 [155 321]]",0.15638956,1.948314905166626,0.08151845
0,sex,v_decile_score,k-anonymity,50,50,0.6115122650688789,0.8108780422213258,0.06232396169406462,0.42959748364199085,0.22493910436574854,0.6732954545454546,0.6826126954921803,0.6072013093289689,0.7794117647058824,0.6828093306288032,"[[340 240]
 [105 371]]",0.13428962,1.3229033946990967,0.067709446
0,sex,v_decile_score,k-anonymity,75,75,0.6007067137809188,0.746268656716418,-0.01000324337242442,0.4697986577181208,0.5882352941176471,0.634469696969697,0.6085192697768762,0.5882352941176471,0.6302521008403361,0.6340915676615474,"[[370 210]
 [176 300]]",0.044373874,0.14509013989567948,0.018278288
0,sex,v_decile_score,k-anonymity,100,100,0.6007067137809188,0.746268656716418,-0.01000324337242442,0.4697986577181208,0.5882352941176471,0.634469696969697,0.6085192697768762,0.5882352941176471,0.6302521008403361,0.6340915676615474,"[[370 210]
 [176 300]]",0.04268966,0.11363351965293438,0.017502405
1,sex,v_decile_score,k-anonymity,1,1,0.11785404494198132,0.058665472458575896,-0.014140521431727837,0.033250547367733085,0.07301103920822227,0.7878787878787878,0.7575757575757576,0.7936507936507936,0.7246376811594203,0.7829122088170575,"[[482  91]
 [133 350]]",1.9721344,1.7310459613800049,0.24135754
1,sex,v_decile_score,k-anonymity,2,2,0.12719922750855145,0.09023734885803847,-0.0032569025056872203,0.035407339629423884,0.08877005347593592,0.7736742424242424,0.7421790722761596,0.7747747747747747,0.7122153209109731,0.7688476255514726,"[[473 100]
 [139 344]]",1.0229958,3.556075942722159,0.2622866
1,sex,v_decile_score,k-anonymity,3,3,0.14495671101945962,0.08911777877295124,-0.02903389469894102,0.059426162543707736,0.017643510606212942,0.7897727272727273,0.748868778280543,0.8254364089775561,0.6853002070393375,0.781568079086859,"[[503  70]
 [152 331]]",0.50413936,2.7900922298431396,0.18620822
1,sex,v_decile_score,k-anonymity,4,4,0.1377882522380976,0.09225257501119577,-0.022290960868070808,0.047743537792882595,0.037757085848767025,0.7859848484848485,0.7425968109339408,0.8253164556962025,0.6749482401656315,0.7772646959990461,"[[504  69]
 [157 326]]",0.48097175,2.5326595306396484,0.18284227
1,sex,v_decile_score,k-anonymity,5,5,0.15732966727222142,0.08105687416032248,-0.04576029852211905,0.08950687886016798,-0.007756232686980669,0.7765151515151515,0.7389380530973452,0.7933491686460807,0.6915113871635611,0.7698394632152884,"[[486  87]
 [149 334]]",0.50319684,2.03809736460266,0.1875654
1,sex,v_decile_score,k-anonymity,6,6,0.12647910836156528,0.06874160322436185,-0.026857170913732964,0.043021469886605004,0.04202330867063209,0.7869318181818182,0.7451868629671574,0.8225,0.6811594202898551,0.7786250853630776,"[[502  71]
 [154 329]]",0.478025,1.7966982356581869,0.18102853
1,sex,v_decile_score,k-anonymity,7,7,0.0968887579581349,0.024406627854903662,-0.0021439910967087084,0.034100192804156715,0.10193452380952372,0.7471590909090909,0.7400194741966893,0.6985294117647058,0.7867494824016563,0.7502682839582453,"[[409 164]
 [103 380]]",0.37261912,2.132283345424529,0.1626119
1,sex,v_decile_score,k-anonymity,8,8,0.1151535981407833,0.050380653828929645,-0.0021439910967087084,0.04818469984641022,0.09695263975155277,0.7471590909090909,0.7390029325513195,0.7,0.782608695652174,0.7499430912815843,"[[411 162]
 [105 378]]",0.3683723,1.7692365912953243,0.16207486
1,sex,v_decile_score,k-anonymity,9,9,0.10665946547519684,0.036721898790864294,3.2732688499348406e-05,0.04329923858697432,0.10044822949350074,0.7443181818181818,0.7403846153846153,0.6912028725314183,0.7971014492753623,0.7484634646027771,"[[401 172]
 [ 98 385]]",0.37039512,1.791618878204912,0.1625025
1,sex,v_decile_score,k-anonymity,10,10,0.11024369486587787,0.044111061352440584,0.003616962079180386,0.04329923858697432,0.10233573066731982,0.7471590909090909,0.7440076701821667,0.6928571428571428,0.8033126293995859,0.751569054664889,"[[401 172]
 [ 95 388]]",0.3682771,1.768675892642306,0.1620182
1,sex,v_decile_score,k-anonymity,25,25,0.13248555670119966,0.15047021943573669,0.018690365133140263,0.05025979543152187,0.1522161619961131,0.6723484848484849,0.6432989690721649,0.6406570841889117,0.6459627329192547,0.6702763053776029,"[[398 175]
 [171 312]]",0.16844335,1.959059476852417,0.09050504
1,sex,v_decile_score,k-anonymity,50,50,0.08831279357130001,0.10703090013434846,0.04152141536145071,0.005277605307016153,0.17025171624713958,0.6676136363636364,0.6541871921182266,0.6240601503759399,0.6873706004140787,0.6691652303990114,"[[373 200]
 [151 332]]",0.1467601,1.3294854164123535,0.077061
1,sex,v_decile_score,k-anonymity,75,75,0.08831279357130001,0.10703090013434846,0.04152141536145071,0.005277605307016153,0.17025171624713958,0.6676136363636364,0.6541871921182266,0.6240601503759399,0.6873706004140787,0.6691652303990114,"[[373 200]
 [151 332]]",0.14663629,1.3294905424118042,0.07695811
1,sex,v_decile_score,k-anonymity,100,100,0.08831279357130001,0.10703090013434846,0.04152141536145071,0.005277605307016153,0.17025171624713958,0.6676136363636364,0.6541871921182266,0.6240601503759399,0.6873706004140787,0.6691652303990114,"[[373 200]
 [151 332]]",0.13231297,0.7194497386540538,0.06907218
2,sex,v_decile_score,k-anonymity,1,1,0.09333250481575844,-0.06628823127985606,-0.105822407257814,0.12232043429844097,-0.10165361183637944,0.790719696969697,0.7641408751334046,0.7816593886462883,0.7473903966597077,0.7870400856782075,"[[477 100]
 [121 358]]",1.9266781,2.2999059086522573,0.2397362
