SEED,protected_att,target,model_name,method,anon_parameter,SPD,EOD,MAD,PED,PRD,ACC,f1,Precision,Recall,ROC_AUC,CM,ASF,ALF,NCF
0,sex,v_decile_score,XGBoost,k-anonymity,10,0.14955360953210084,0.05129756622293935,-0.025725064440689005,0.10267278935594021,0.03005389604457842,0.78125,0.7814569536423841,0.7108433734939759,0.8676470588235294,0.7889959432048681,"[[412 168]
 [ 63 413]]",0.34403847762573,2.0108210848329326,0.15122625
1,sex,v_decile_score,XGBoost,k-anonymity,10,0.11024369486587787,0.044111061352440584,0.003616962079180386,0.04329923858697432,0.10233573066731982,0.7471590909090909,0.7440076701821668,0.6928571428571428,0.8033126293995859,0.751569054664889,"[[401 172]
 [ 95 388]]",0.3694738591382808,1.7686756173402445,0.16225976
2,sex,v_decile_score,XGBoost,k-anonymity,10,0.12999440750636926,-0.005335318568149394,-0.07910271546635184,0.14989908129175944,-0.04945794970303152,0.7547348484848485,0.7554296506137866,0.6896551724137931,0.8350730688935282,0.7615573316738005,"[[397 180]
 [ 79 400]]",0.3931514233592368,1.7422208786792541,0.16558105
3,sex,v_decile_score,XGBoost,k-anonymity,10,0.07451106621972603,-0.03549331565572866,-0.02843696583568278,0.04338386674153094,0.05640610737698115,0.7670454545454546,0.7734806629834254,0.7355516637478109,0.8155339805825242,0.7682106132117797,"[[390 151]
 [ 95 420]]",0.3690644225016635,2.0481041870256695,0.15555364
4,sex,v_decile_score,XGBoost,k-anonymity,10,0.1678862282727604,0.09527197975964574,-0.01271423362100399,0.08945141921397382,0.08048289738430581,0.7632575757575758,0.7524752475247525,0.7037037037037037,0.8085106382978723,0.7677365478178781,"[[426 160]
 [ 90 380]]",0.379995735499046,2.224809050874419,0.15577506
5,sex,v_decile_score,XGBoost,k-anonymity,10,0.08120259598092106,-0.03828828828828834,-0.060012510751426995,0.08380338436744558,-0.013342118267171799,0.7774621212121212,0.7785108388312912,0.7577981651376147,0.8003875968992248,0.7779715762273902,"[[408 132]
 [103 413]]",0.37773019002001673,2.0505900382995605,0.16002703
6,sex,v_decile_score,XGBoost,k-anonymity,10,0.1537702874793399,-0.005681818181818232,-0.052136451079740964,0.10878480838158255,0.052612349287541105,0.7642045454545454,0.7688022284122563,0.7288732394366197,0.8133595284872298,0.7659119397463571,"[[393 154]
 [ 95 414]]",0.32987244787600734,1.8153552843091882,0.14254788
7,sex,v_decile_score,XGBoost,k-anonymity,10,0.11543951162190819,-0.03608647450110858,-0.075681407812903,0.12201056317132516,-0.014059469941822944,0.7585227272727273,0.7658402203856749,0.7354497354497355,0.7988505747126436,0.7589758491540746,"[[384 150]
 [105 417]]",0.33351400354726923,1.4735311595987606,0.15375727
8,sex,v_decile_score,XGBoost,k-anonymity,10,0.07731371618414806,-0.0850711798972803,-0.04475557664926433,0.038378447070784055,0.08792073365623387,0.759469696969697,0.7571701720841301,0.7252747252747253,0.792,0.7611079136690647,"[[406 150]
 [104 396]]",0.37559185222232916,2.1724498655999662,0.16033587
9,sex,v_decile_score,XGBoost,k-anonymity,10,0.14029557755405364,0.042592592592592515,-0.03170588070332869,0.11259079903147703,0.013669444151460763,0.7660984848484849,0.7776777677767777,0.7272727272727273,0.8355899419729207,0.7675166778510243,"[[377 162]
 [ 85 432]]",0.38809324123747085,1.7017792940711793,0.15736905
