SEED,dataset,protected_att,target,method,anon_parameter,supp_level,SPD,EOD,MAD,PED,PRD,ACC,f1,Precision,Recall,ROC_AUC,CM
0,adult_10000,gender,income,k-anonymity,10,10,0.09984501563726589,0.03099627356838386,0.10314323898678057,0.059362139917695456,0.11007519667192844,0.8740821519447474,0.9269136636003038,0.8818853380440019,0.9767876200640342,0.6954826192713639,"[[ 1040  1471]
 [  261 10983]]"
0,adult_10000,gender,income,k-anonymity,10,20,0.11376717725554963,0.04605595084701397,0.108468011029481,0.050565843621399154,0.10891484480250502,0.8724827335514358,0.9253235694822888,0.8875367526951976,0.9664710067591604,0.7090419549924835,"[[ 1134  1377]
 [  377 10867]]"
0,adult_10000,gender,income,k-anonymity,10,30,0.09480889760139277,0.030131841327606046,0.10530485532883505,0.028755144032921898,0.1139204175466565,0.8732824427480916,0.9261471971526629,0.8844379703811605,0.9719850586979722,0.70164366435496,"[[ 1083  1428]
 [  315 10929]]"
0,adult_10000,gender,income,k-anonymity,10,40,0.11349900790202783,0.04701632574095549,0.1087206469966101,0.03590534979423876,0.10969296129985795,0.8719738276990185,0.9247275058773242,0.8902147971360382,0.9620241906794735,0.7153808727192668,"[[ 1177  1334]
 [  427 10817]]"
0,adult_10000,gender,income,k-anonymity,10,50,0.15407857214005605,0.08090383985574778,0.11445659263131103,0.08230452674897126,0.09722829040611247,0.869065794256634,0.9220987066914659,0.8976,0.9479722518676628,0.7318515182078258,"[[ 1295  1216]
 [  585 10659]]"
1,adult_10000,gender,income,k-anonymity,10,10,0.11344182778115319,0.03173237426220221,0.09403631188290063,0.10130508510957992,0.10168795281835696,0.878298800436205,0.9294087880576875,0.888494719019592,0.974272831756697,0.7041986090043714,"[[ 1061  1383]
 [  291 11020]]"
1,adult_10000,gender,income,k-anonymity,10,20,0.09904769793833679,0.024581782917553197,0.09316889026887853,0.025731427222186354,0.10859622838736294,0.8765539803707743,0.927547363031234,0.8964123711340206,0.9609229953142958,0.7235056875098484,"[[ 1188  1256]
 [  442 10869]]"
1,adult_10000,gender,income,k-anonymity,10,30,0.10060588630345257,0.025546649995415893,0.09362908340370013,0.029077317706656336,0.10802162328345977,0.8777898945837878,0.9283369569851218,0.8964268071793183,0.9626027760587039,0.7239364125792701,"[[ 1186  1258]
 [  423 10888]]"
1,adult_10000,gender,income,k-anonymity,10,40,0.10462616053755913,0.03368131407814412,0.10144001235336364,0.025548972889432697,0.11112570560138946,0.8755361686659396,0.9270247229326514,0.8950530907893653,0.9613650428786137,0.7198396409155752,"[[ 1169  1275]
 [  437 10874]]"
1,adult_10000,gender,income,k-anonymity,10,50,0.13709378800183458,0.05588641630283919,0.09919042117200583,0.06715929336510185,0.0967220896059573,0.8769901853871319,0.927144333448157,0.9037186267103164,0.9518168154893466,0.7412521065990105,"[[ 1297  1147]
 [  545 10766]]"
2,adult_10000,gender,income,k-anonymity,10,10,0.11402393736688965,0.04599641497840112,0.10435000149983509,0.06414075147565212,0.10774150253956627,0.8608505997818975,0.9177198865101883,0.8798219584569733,0.9590296495956874,0.701800539083558,"[[ 1167  1458]
 [  456 10674]]"
2,adult_10000,gender,income,k-anonymity,10,20,0.10253880073191957,0.03847070950963838,0.10461229264780869,0.04331659436096913,0.11246012690019491,0.8592511813885859,0.916852774437382,0.8782293895013987,0.9590296495956874,0.6976100628930818,"[[ 1145  1480]
 [  456 10674]]"
2,adult_10000,gender,income,k-anonymity,10,30,0.13553253142154364,0.05166044204659892,0.09199160092389846,0.11108560816393886,0.09094627037891767,0.8705198109778263,0.9231565776416274,0.8880219141695028,0.9611859838274932,0.7236406109613657,"[[ 1276  1349]
 [  432 10698]]"
2,adult_10000,gender,income,k-anonymity,10,40,0.13520112787593364,0.049164044509251936,0.0893624501304856,0.12558529263760254,0.08937893256347618,0.8700836059614686,0.9230901656982999,0.8859149111937216,0.9635220125786164,0.7187133872416891,"[[ 1244  1381]
 [  406 10724]]"
2,adult_10000,gender,income,k-anonymity,10,50,0.14333755286918437,0.059626728031600185,0.09451264360920308,0.10663628006652198,0.08936920053839925,0.8708833151581243,0.9230035550160409,0.8918398123324397,0.9564240790655885,0.7323072776280323,"[[ 1334  1291]
 [  485 10645]]"
3,adult_10000,gender,income,k-anonymity,10,10,0.10802519528929999,0.044662005269131444,0.10728988570020137,0.05281035014109492,0.1076289911123659,0.8673209741912032,0.9222179601926438,0.8807391729078476,0.9677967617854907,0.6995427908306335,"[[ 1111  1465]
 [  360 10819]]"
3,adult_10000,gender,income,k-anonymity,10,20,0.10167882568870235,0.047567762323974305,0.11785676815365809,0.020639851685932742,0.11633301481562885,0.8650672482733551,0.9209674672117186,0.8788297440065014,0.967349494588067,0.69427257338099,"[[ 1085  1491]
 [  365 10814]]"
3,adult_10000,gender,income,k-anonymity,10,30,0.14800874658014718,0.06400467402577104,0.09512541478678382,0.12347483841474266,0.08365105497919856,0.8772082878953108,0.9273267071124306,0.89338418172774,0.9639502638876465,0.7323633307015872,"[[ 1290  1286]
 [  403 10776]]"
3,adult_10000,gender,income,k-anonymity,10,40,0.13968330288461972,0.05535445090062996,0.0908049202450425,0.11581186452228848,0.08457117021877814,0.8776444929116685,0.9276409131948922,0.893046357615894,0.9650237051614634,0.7317354550652038,"[[ 1284  1292]
 [  391 10788]]"
3,adult_10000,gender,income,k-anonymity,10,50,0.13792759264941745,0.059985974765627836,0.09886161951654127,0.09827797187508858,0.09051384145401908,0.8745910577971646,0.9258224037841323,0.8914375621066578,0.9629662760533142,0.7270188523123714,"[[ 1265  1311]
 [  414 10765]]"
4,adult_10000,gender,income,k-anonymity,10,10,0.1094802575011935,0.04150850528460737,0.10737296129739027,0.060995611748349,0.11214365240080948,0.8644129407488186,0.9204249690660068,0.8798433803736031,0.9649311146895688,0.696668118462363,"[[ 1104  1473]
 [  392 10786]]"
4,adult_10000,gender,income,k-anonymity,10,20,0.12324846468178974,0.05599163380224248,0.11426766954148171,0.07472338083651953,0.11113084601686107,0.8625954198473282,0.9192169601641307,0.8800949418890162,0.9619788870996601,0.6967441971392752,"[[ 1112  1465]
 [  425 10753]]"
4,adult_10000,gender,income,k-anonymity,10,30,0.15509003182742764,0.062201381523445565,0.09245170842655892,0.15347294635615805,0.08393084558887676,0.8757542711741185,0.9265420159037179,0.8917018284106891,0.9642154231526212,0.7281302183671527,"[[ 1268  1309]
 [  400 10778]]"
4,adult_10000,gender,income,k-anonymity,10,40,0.14601615139271085,0.05390194545380034,0.08935986269834917,0.1412332725060827,0.0859394366575773,0.8758996728462377,0.9266721079084154,0.891331294934303,0.9649311146895688,0.7273239197817266,"[[ 1262  1315]
 [  392 10786]]"
4,adult_10000,gender,income,k-anonymity,10,50,0.1181419030606714,0.04433086949970899,0.10233373081146802,0.07710397115050405,0.10590546334620077,0.8668120683387859,0.9215887690463961,0.8834728376825866,0.9631418858471998,0.7060567791672941,"[[ 1157  1420]
 [  412 10766]]"
5,adult_10000,gender,income,k-anonymity,10,10,0.10180213963255602,0.0351345906198951,0.09792254355957053,0.05449631516355735,0.1068187132016919,0.8604870956015994,0.9175297606257253,0.8769407705577918,0.9620583994232156,0.6993443557853197,"[[ 1161  1498]
 [  421 10675]]"
5,adult_10000,gender,income,k-anonymity,10,20,0.10996136371334142,0.04266334498408331,0.10052099714038254,0.06652281113473502,0.10528857760683541,0.8595419847328244,0.9169103733012214,0.8769332017110891,0.9607065609228551,0.6990445177686859,"[[ 1163  1496]
 [  436 10660]]"
5,adult_10000,gender,income,k-anonymity,10,30,0.12547587711870556,0.038126381175668356,0.08010497360539215,0.11490149441532,0.08588785603425741,0.8729916394038532,0.9246820435438672,0.8863542441524093,0.9664744051910599,0.7246813545323483,"[[ 1284  1375]
 [  372 10724]]"
