SEED,protected_att,target,model_name,method,anon_parameter,SPD,EOD,MAD,PED,PRD,ACC,f1,Precision,Recall,ROC_AUC,CM,ASF,ALF,NCF
20,SEX,PINCP,XGBoost,k-anonymity,10,0.21605058163845375,0.16080612417049833,0.016751874636035113,0.1291176090327335,0.06667051819867231,0.7482427155301893,0.7499477876898291,0.7381651591683308,0.7621126675156146,0.7483698643251029,"[[12341  4458]
 [ 3923 12568]]",0.15443815013608575,2.2492337226867676,0.09736789
21,SEX,PINCP,XGBoost,k-anonymity,10,0.23799828982352156,0.18203175731421883,0.017213231075572932,0.14796749017912156,0.058382868424021184,0.7518474016221087,0.7534692172252231,0.7418463889052125,0.7654620422022799,0.7519714068613496,"[[12405  4393]
 [ 3868 12624]]",0.150882615341622,2.7707154450802225,0.097755626
22,SEX,PINCP,XGBoost,k-anonymity,10,0.21890282321667365,0.16327839841052583,0.02235079755971925,0.12650459739121742,0.07203655194631742,0.7503154100330429,0.755255874212355,0.7446005573618207,0.7662205759349983,0.750226044371559,"[[12153  4399]
 [ 3913 12825]]",0.14789273757832616,2.3718006370005282,0.09529903
23,SEX,PINCP,XGBoost,k-anonymity,10,0.22332898907565085,0.16237296826212178,0.018335880375979108,0.13499746005790203,0.06873162888067785,0.7505857614899369,0.7559448575879604,0.7409819061887749,0.7715245695086098,0.7505580496583536,"[[12128  4495]
 [ 3808 12859]]",0.1561232639958868,2.781660565257227,0.09923149
24,SEX,PINCP,XGBoost,k-anonymity,10,0.24351951223562218,0.18713360932787204,0.020026417114231698,0.15516256280531768,0.056011557886432195,0.7516371282667468,0.7569093261201929,0.7422014645678372,0.7722118903353531,0.751607419206543,"[[12150  4471]
 [ 3797 12872]]",0.15432904030908995,2.475365161895752,0.098119855
25,SEX,PINCP,XGBoost,k-anonymity,10,0.2302753094353691,0.16557016158055204,0.02126292005708852,0.13675074738630605,0.07433772329216959,0.7541604085310905,0.7605617320070216,0.7423610714489691,0.7796772839061844,0.7541204880328803,"[[12108  4511]
 [ 3673 12998]]",0.15608548646758308,2.573937204179468,0.099293664
26,SEX,PINCP,XGBoost,k-anonymity,10,0.23708809865280012,0.16927715322922499,0.013012297502971615,0.14602326324294865,0.07309840181306526,0.7482126764794232,0.7504465880671668,0.7380966325036603,0.7632168594440744,0.7483307281067306,"[[12305  4472]
 [ 3910 12603]]",0.15249158620175665,2.7501961675889968,0.09730158
27,SEX,PINCP,XGBoost,k-anonymity,10,0.2314227483489218,0.17317287107728685,0.021241798861425187,0.1378135767951061,0.07162826907235853,0.750435566236107,0.7553448377407386,0.7421016086101145,0.7690693211801392,0.7504007975829672,"[[12157  4457]
 [ 3851 12825]]",0.1565737760100987,3.5397595771157873,0.10029581
28,SEX,PINCP,XGBoost,k-anonymity,10,0.21548379396029665,0.1533232590148872,0.018452175162037343,0.12399530679595824,0.07952118079577364,0.7485731450886152,0.7528932451582427,0.7391884057971014,0.7671158705330285,0.7485987320027754,"[[12169  4499]
 [ 3871 12751]]",0.16585959561635533,2.921705722808838,0.10418431
29,SEX,PINCP,XGBoost,k-anonymity,10,0.2242941511988098,0.1798775762125091,0.0259765530759698,0.1268724134587124,0.07370410935821559,0.7474316611595073,0.7482785461948386,0.7391175774781169,0.7576694555595974,0.7475237013449333,"[[12385  4411]
 [ 3997 12497]]",0.1524767432552593,2.7067971250291114,0.097511455
30,SEX,PINCP,XGBoost,k-anonymity,10,0.22862114417321677,0.16343426995695387,0.01919751428788441,0.1351072878887163,0.07554298632555534,0.7536197056173025,0.7588781749764817,0.740972501291693,0.7776706633728987,0.753688863106805,"[[12181  4512]
 [ 3690 12907]]",0.1584281972186736,2.6800490520214346,0.10049064
31,SEX,PINCP,XGBoost,k-anonymity,10,0.21966268056403343,0.16795666596890035,0.02595363518192284,0.12127802492507161,0.07683092236062228,0.7544607990387504,0.7577499851816727,0.7421770682148041,0.7739904340982019,0.7546098357815876,"[[12332  4441]
 [ 3733 12784]]",0.15515189312982988,2.7916991808420386,0.0988144
32,SEX,PINCP,XGBoost,k-anonymity,10,0.2294049088591006,0.18198356523409753,0.024336670835809593,0.13784737458070281,0.06595030744218278,0.7485130669870832,0.7522637154524472,0.735973597359736,0.7692912909277976,0.7486642534438595,"[[12207  4560]
 [ 3812 12711]]",0.15549516191736037,2.6046659934900087,0.09900431
33,SEX,PINCP,XGBoost,k-anonymity,10,0.2238354077660893,0.17218685253916433,0.026234528225379528,0.12681346843308566,0.07764246900864791,0.749624511865425,0.7542675196792358,0.7402777777777778,0.7687962016948134,0.7496314201675677,"[[12163  4488]
 [ 3847 12792]]",0.15956609937932625,2.6861109281168662,0.10010528
34,SEX,PINCP,XGBoost,k-anonymity,10,0.23167914836081344,0.17343762427586318,0.017123954667697228,0.14469365277493765,0.065723399058908,0.7478522078702313,0.7514361859638733,0.7334952017574285,0.7702768334142788,0.748082880971618,"[[12208  4610]
 [ 3784 12688]]",0.159120829208715,2.786069393157959,0.10076242
35,SEX,PINCP,XGBoost,k-anonymity,10,0.22069897930517146,0.16088380811190506,0.015512745145040419,0.13451948521125429,0.06562337621979364,0.750195253829979,0.7534538986065816,0.7385643708224353,0.7689561270801816,0.7503295398299805,"[[12267  4498]
 [ 3818 12707]]",0.1533296351634431,2.7419140338897705,0.09897329
36,SEX,PINCP,XGBoost,k-anonymity,10,0.2361293126246704,0.17790096175559977,0.024072875300203633,0.1370763199145121,0.07495961138053564,0.7533193151096426,0.7584279578749191,0.7455754771544245,0.7717313218390804,0.7532538196075904,"[[12187  4399]
 [ 3813 12891]]",0.15375197519061196,2.637297067308077,0.0979319
37,SEX,PINCP,XGBoost,k-anonymity,10,0.22332066725325378,0.16598247291141577,0.014806448823862839,0.13379311023304183,0.062382059836544546,0.749714629017723,0.7507627879150464,0.7483897900763359,0.7531508822470292,0.7497111158889704,"[[12409  4219]
 [ 4113 12549]]",0.14699836400751448,2.363976682157579,0.0956042
38,SEX,PINCP,XGBoost,k-anonymity,10,0.2453272505169799,0.18565064754545868,0.023152289996672626,0.14807707476124005,0.07783121999515275,0.7480624812255933,0.7527052926433732,0.7362288746611294,0.76993605983834,0.7481501744859483,"[[12139  4573]
 [ 3814 12764]]",0.15791393799448408,2.3749794043534105,0.099376634
39,SEX,PINCP,XGBoost,k-anonymity,10,0.22007396241147825,0.1775920085878202,0.02982496285612035,0.12247597834004748,0.07555757055205836,0.7475818564133373,0.7514273036533057,0.7398497116560844,0.7633730015626878,0.7475884945358479,"[[12186  4466]
 [ 3937 12701]]",0.1536697177113751,2.4713757038116455,0.097264946
0,SEX,PINCP,RandomForest,k-anonymity,10,0.23203015833135532,0.17282081222602574,0.02469775804078722,0.1311738971687588,0.08157872255830956,0.7540402523280264,0.758708080391348,0.7417031574095414,0.7765110387260225,0.7541303398512832,"[[12229  4483]
 [ 3705 12873]]",0.16061054291126564,inf,0.10087018322386586
1,SEX,PINCP,RandomForest,k-anonymity,10,0.22763947355982972,0.1709549070817441,0.018651987317878427,0.1401348992260299,0.06171786584382033,0.7515470111144488,0.7557366882253921,0.7405370992012964,0.7715732979557378,0.7516213290520893,"[[12224  4483]
 [ 3788 12795]]",0.16143566600739861,inf,0.10253584819938792
2,SEX,PINCP,RandomForest,k-anonymity,10,0.20202090693125152,0.1392303848075962,0.017523566399936352,0.11352900614864703,0.07975875279812261,0.7495343947131271,0.7548656435585347,0.7404117884537748,0.7698950524737631,0.7494976315633938,"[[12114  4501]
 [ 3837 12838]]",0.15786982753114115,inf,0.10117024898500758
3,SEX,PINCP,RandomForest,k-anonymity,10,0.23020526892231813,0.17705009131823668,0.02761067392332861,0.1350056554344381,0.0705781881922295,0.7528086512466206,0.7606805293005671,0.7445488186734984,0.7775267538644471,0.7525460120263341,"[[11983  4487]
 [ 3742 13078]]",0.16247130935841517,inf,0.10329041351264595
4,SEX,PINCP,RandomForest,k-anonymity,10,0.24377112505756338,0.17803342266101296,0.01850630771395312,0.1552087274827977,0.06892696415595478,0.750045058576149,0.7571716228441357,0.7341822297679683,0.7816472856540339,0.7501359294142091,"[[11996  4697]
 [ 3624 12973]]",0.16705428703312944,inf,0.1056752959694849
5,SEX,PINCP,RandomForest,k-anonymity,10,0.24207071458782525,0.17831970739249225,0.01616821197419982,0.14983964002758912,0.07067742504813368,0.7475818564133373,0.7505417841769334,0.7394992394992395,0.7619191127719848,0.7476282191801717,"[[12246  4453]
 [ 3950 12641]]",0.16100023342516742,inf,0.10385906594653868
