SEED,protected_att,target,method,anon_parameter,threshold_target,SPD,EOD,MAD,PED,PRD,ACC,f1,Precision,Recall,ROC_AUC,CM,ASF,ALF,NCF
21,SEX,PINCP,k-anonymity,10,7000,0.03162981287544764,0.017065613556891512,0.036926988646272196,0.001989039970881512,0.027031786568171845,0.9122258936617603,0.9517614818238849,0.933665867720412,0.9705723905723905,0.700049426483967,"[[ 1542  2048]
 [  874 28826]]",0.09162189,2.6941261919662263,0.05201013
22,SEX,PINCP,k-anonymity,10,7000,0.025248072590159598,0.013245171283091994,0.03397570049606702,-0.01668361878647584,0.026402417915150522,0.9189546410333433,0.9557385655226721,0.9371059065757302,0.975127209426888,0.7015776480136195,"[[ 1463  1955]
 [  743 29129]]",0.085943215,2.0841110826454967,0.049346745
23,SEX,PINCP,k-anonymity,10,7000,0.032743262670250406,0.01366640467851632,0.031950398773533006,0.044413111095826574,0.024583255618724986,0.9151997596875938,0.9536415140816159,0.9308200294928511,0.9776101814753712,0.6881642437050859,"[[ 1431  2158]
 [  665 29036]]",0.08268349,2.0251194874839507,0.04779515
24,SEX,PINCP,k-anonymity,10,7000,0.025438841314051053,0.011640587911956657,0.032425904870182154,-0.0030503858778926363,0.026249497850881154,0.9192550315410033,0.956016624668652,0.9378772312829075,0.9748715210571982,0.6963707785791406,"[[ 1389  1935]
 [  753 29213]]",0.08344608,2.240327196539367,0.048458118
25,SEX,PINCP,k-anonymity,10,7000,0.017646751831306817,0.006180053639764815,0.03174366938478368,-0.04428240774888159,0.03041373367866218,0.9190447581856414,0.9557827035718387,0.9382791611635474,0.9739517153748412,0.7038789309734725,"[[ 1468  1916]
 [  779 29127]]",0.08618398,2.5676608085632324,0.0496845
26,SEX,PINCP,k-anonymity,10,7000,0.029780836671247868,0.013691211415360338,0.038368213753844804,-0.00200196793346763,0.03148626389056963,0.9145389005707419,0.9532479910604243,0.9336251850898087,0.9737133648907241,0.6925375274353707,"[[ 1441  2062]
 [  783 29004]]",0.08428974,2.322357617685852,0.04873439
27,SEX,PINCP,k-anonymity,10,7000,0.04012662485623142,0.0259927095398238,0.0402504647613261,0.017354537763306865,0.02239489164391828,0.91417843196155,0.952858675026813,0.9378633838958002,0.9683412703735998,0.7086810038503943,"[[ 1559  1913]
 [  944 28874]]",0.0888856,2.7211574389096875,0.050717782
28,SEX,PINCP,k-anonymity,10,7000,0.018326029826961965,0.009370761290899532,0.03386616434249523,-0.06058368337712883,0.029833953441619876,0.9183538600180234,0.9552813425468905,0.9400317326684584,0.9710338829982942,0.7126021168601846,"[[ 1541  1852]
 [  866 29031]]",0.0835831,1.9049188671670034,0.0484358
29,SEX,PINCP,k-anonymity,10,7000,0.03259916925471695,0.017755429839443226,0.0337645403216672,0.01908039195309441,0.022580400263317424,0.9160408531090417,0.9540152350241029,0.9358618463524855,0.9728868158786618,0.7016913299800303,"[[ 1502  1987]
 [  808 28993]]",0.08949518,3.5389692783355713,0.05141612
30,SEX,PINCP,k-anonymity,10,7000,0.024628631573812454,0.013433653107515875,0.03591807784880685,-0.03310807388561832,0.028721893050639213,0.9155902673475518,0.9536487199788862,0.9361378282975485,0.9718271978483779,0.7077753760751058,"[[ 1573  1972]
 [  838 28907]]",0.0900502,2.234333087098583,0.051261086
31,SEX,PINCP,k-anonymity,10,7000,0.026639551469701206,0.014376839469434466,0.03459804551901191,0.0022162103387446397,0.026131122733083267,0.914238510063082,0.953182138698939,0.9304626220585881,0.9770389296039804,0.6820860562241121,"[[ 1372  2172]
 [  683 29063]]",0.08147261,4.339415550231934,0.047717005
32,SEX,PINCP,k-anonymity,10,7000,0.01617335575016643,0.00551438454877573,0.024342956902728807,-0.00828767251975504,0.022855123475816863,0.9137879243015921,0.9528766583475634,0.9324828073783662,0.9741825018465051,0.6872910226127502,"[[ 1403  2101]
 [  769 29017]]",0.083514936,2.1643223762512207,0.048884843
33,SEX,PINCP,k-anonymity,10,7000,0.025560039582339655,0.013555263952149343,0.03719213089160289,-0.0259598659426461,0.0299856756887672,0.9146890958245719,0.9532771782047907,0.9348822200709906,0.9724105524602269,0.6975897155893812,"[[ 1478  2018]
 [  822 28972]]",0.0856464,2.0460507756636392,0.049779657
34,SEX,PINCP,k-anonymity,10,7000,0.03041555093057391,0.01438095783391935,0.0355588784534161,-0.0032541442126670095,0.027869801328403332,0.9169119855812556,0.9544241225902126,0.9375849789575914,0.9718791946308725,0.7097218322724563,"[[ 1562  1928]
 [  838 28962]]",0.08988181,2.2369985580444336,0.05165306
35,SEX,PINCP,k-anonymity,10,7000,0.030258792154768566,0.015483949866581526,0.03313345089260511,0.007204708160706064,0.02396620509959846,0.9172724541904476,0.954645762656039,0.9367203154288669,0.9732706514439221,0.7077179468045821,"[[ 1552  1958]
 [  796 28984]]",0.08440222,2.8119184970855713,0.049064573
36,SEX,PINCP,k-anonymity,10,7000,0.020149444028911945,0.006718512002382937,0.029855978216763224,-0.018954426868095897,0.02852880523294332,0.9124962451186542,0.9520769926791149,0.9373198147128373,0.9673062779969245,0.6970713854439599,"[[ 1441  1935]
 [  978 28936]]",0.08953832,3.9448013305664062,0.050072953
37,SEX,PINCP,k-anonymity,10,7000,0.018460920948706216,0.008586939775439562,0.032011128025067226,-0.04364235792551485,0.02887257313464031,0.9130369480324422,0.9521953797123467,0.9357696926422382,0.9692080139841334,0.705242064586646,"[[ 1563  1979]
 [  916 28832]]",0.08410463,1.9446082172349242,0.04866413
38,SEX,PINCP,k-anonymity,10,7000,0.035493627656447146,0.018453884922132402,0.03661685558905181,0.025907675358461613,0.025198061491856993,0.9167617903274257,0.9544789972565834,0.9354090865183372,0.9743426348269385,0.6984551400962556,"[[ 1468  2006]
 [  765 29051]]",0.08311905,2.4720279789414605,0.048064135
39,SEX,PINCP,k-anonymity,10,7000,0.02422218366247697,0.011865563917529465,0.03174259924013201,-0.013198100851342542,0.025560203294032968,0.9156203063983178,0.9537239913675227,0.935613161807486,0.9725498101669858,0.7038819365549984,"[[ 1535  1992]
 [  817 28946]]",0.084999226,2.5518972873687744,0.049180176
0,SEX,PINCP,l-diversity,2,7000,0.0,0.0,0.0399585504679133,0.0,0.0399585504679133,0.8945929708621208,0.9443642878660558,0.8945929708621208,1.0,0.5,"[[    0  3509]
 [    0 29781]]",0.00033762155,0.04016346484422684,0.00031799817
1,SEX,PINCP,l-diversity,2,7000,0.0,0.0,0.043464616228275355,0.0,0.043464616228275355,0.8951036347251426,0.9446487446107025,0.8951036347251426,1.0,0.5,"[[    0  3492]
 [    0 29798]]",0.0005827169,0.04589051753282547,0.0005562038
2,SEX,PINCP,l-diversity,2,7000,0.0,0.0,0.03432023546512686,0.0,0.03432023546512686,0.8969960949234004,0.945701572421656,0.8969960949234004,1.0,0.5,"[[    0  3429]
 [    0 29861]]",0.004752683,0.6281203839166453,0.00418567
3,SEX,PINCP,l-diversity,2,7000,0.0,0.0,0.03968639532404916,0.0,0.03968639532404916,0.8981976569540403,0.9463689449446915,0.8981976569540403,1.0,0.5,"[[    0  3389]
 [    0 29901]]",0.00039071642,0.0355648547410965,0.00036714127
4,SEX,PINCP,l-diversity,2,7000,0.0,0.0,0.03896206547445302,0.0,0.03896206547445302,0.8973866025833583,0.9459185612057501,0.8973866025833583,1.0,0.5,"[[    0  3416]
 [    0 29874]]",0.0003684959,0.03133463114500046,0.00034838225
5,SEX,PINCP,l-diversity,2,7000,0.0,0.0,0.04207220778348042,0.0,0.04207220778348042,0.8975367978371883,0.9460019946492741,0.8975367978371883,1.0,0.5,"[[    0  3411]
 [    0 29879]]",0.00033667966,0.020937003195285797,0.00031530723
6,SEX,PINCP,l-diversity,2,7000,0.0,0.0,0.04143443272697256,0.0,0.04143443272697256,0.8961249624511866,0.9452171984411141,0.8961249624511866,1.0,0.5,"[[    0  3458]
 [    0 29832]]",0.0004869949,0.029535867273807526,0.00046244962
7,SEX,PINCP,l-diversity,2,7000,0.0,0.0,0.03266283761624633,0.0,0.03266283761624633,0.8961550015019525,0.9452339084010583,0.8961550015019525,1.0,0.5,"[[    0  3457]
 [    0 29833]]",0.00052316213,0.047098755836486816,0.00049923215
8,SEX,PINCP,l-diversity,2,7000,0.0,0.0,0.03844004954798608,0.0,0.03844004954798608,0.8970561730249325,0.945734961126154,0.8970561730249325,1.0,0.5,"[[    0  3427]
 [    0 29863]]",0.004688125,0.5176637172698975,0.004083544
9,SEX,PINCP,l-diversity,2,7000,0.0,0.0,0.04094359699100791,0.0,0.04094359699100791,0.8972063682787624,0.9458184236359606,0.8972063682787624,1.0,0.5,"[[    0  3422]
 [    0 29868]]",0.00045515914,0.02388259768486023,0.00043175148
10,SEX,PINCP,l-diversity,2,7000,0.0,0.0,0.04312027522069972,0.0,0.04312027522069972,0.892670471613097,0.9432920151729173,0.892670471613097,1.0,0.5,"[[    0  3573]
 [    0 29717]]",0.00041071646,0.020854976028203964,0.00039438895
11,SEX,PINCP,l-diversity,2,7000,0.0,0.0,0.0390305778399751,0.0,0.0390305778399751,0.8918594172424151,0.9428389965068276,0.8918594172424151,1.0,0.5,"[[    0  3600]
 [    0 29690]]",0.004701331,0.48398396372795105,0.0041867904
12,SEX,PINCP,l-diversity,2,7000,0.0,0.0,0.031622619404900965,0.0,0.031622619404900965,0.8982877741063382,0.9464189638256797,0.8982877741063382,1.0,0.5,"[[    0  3386]
 [    0 29904]]",0.004293008,0.6203927993774414,0.0037586838
13,SEX,PINCP,l-diversity,2,7000,0.0,0.0,0.03987644068086127,0.0,0.03987644068086127,0.8949534394713127,0.9445650967772617,0.8949534394713127,1.0,0.5,"[[    0  3497]
 [    0 29793]]",0.0005305071,0.037266142666339874,0.00050640345
14,SEX,PINCP,l-diversity,2,7000,0.0,0.0,0.03859818356531808,0.0,0.03859818356531808,0.8946530489636527,0.94439776132418,0.8946530489636527,1.0,0.5,"[[    0  3507]
 [    0 29783]]",0.0022039323,0.26784247159957886,0.0019767433
15,SEX,PINCP,l-diversity,2,7000,0.0,0.0,0.038955182707930414,0.0,0.038955182707930414,0.8994592970862121,0.9470687773789003,0.8994592970862121,1.0,0.5,"[[    0  3347]
 [    0 29943]]",0.0022424385,0.1622077077627182,0.002059501
16,SEX,PINCP,l-diversity,2,7000,0.0,0.0,0.03501613930473291,0.0,0.03501613930473291,0.8960048062481225,0.9451503533065053,0.8960048062481225,1.0,0.5,"[[    0  3462]
 [    0 29828]]",0.00041651394,0.020092908293008804,0.0003990627
17,SEX,PINCP,l-diversity,2,7000,0.0,0.0,0.04370833966606602,0.0,0.04370833966606602,0.8960648843496546,0.9451837769328264,0.8960648843496546,1.0,0.5,"[[    0  3460]
 [    0 29830]]",0.00040855474,0.02807319164276123,0.00038968225
18,SEX,PINCP,l-diversity,2,7000,0.0,0.0,0.03968553011189335,0.0,0.03968553011189335,0.8937819164914389,0.9439121883129243,0.8937819164914389,1.0,0.5,"[[    0  3536]
 [    0 29754]]",0.00046299835,0.03248930722475052,0.00043616185
19,SEX,PINCP,l-diversity,2,7000,0.0,0.0,0.03567247859191103,0.0,0.03567247859191103,0.8967257434665065,0.9455512970764309,0.8967257434665065,1.0,0.5,"[[    0  3438]
 [    0 29852]]",0.00044258317,0.031282782554626465,0.00041878538
20,SEX,PINCP,l-diversity,2,7000,0.0,0.0,0.0328915929832887,0.0,0.0328915929832887,0.8968158606188045,0.9456013936178637,0.8968158606188045,1.0,0.5,"[[    0  3435]
 [    0 29855]]",0.0004430563,0.03146231919527054,0.0004242252
21,SEX,PINCP,l-diversity,2,7000,0.0,0.0,0.040564237061566644,0.0,0.040564237061566644,0.8921598077500751,0.9430068264803937,0.8921598077500751,1.0,0.5,"[[    0  3590]
 [    0 29700]]",0.0020676516,0.17259278893470764,0.0018845462
22,SEX,PINCP,l-diversity,2,7000,0.0,0.0,0.03735211184094056,0.0,0.03735211184094056,0.8973265244818264,0.9458851841296982,0.8973265244818264,1.0,0.5,"[[    0  3418]
 [    0 29872]]",0.00034710273,0.03961830586194992,0.00032387397
23,SEX,PINCP,l-diversity,2,7000,0.0,0.0,0.04225775232971407,0.0,0.04225775232971407,0.8921898468008411,0.943023606546967,0.8921898468008411,1.0,0.5,"[[    0  3589]
 [    0 29701]]",0.0043970267,0.5880012202876104,0.0038599363
24,SEX,PINCP,l-diversity,2,7000,0.0,0.0,0.03891015164911338,0.0,0.03891015164911338,0.90015019525383,0.947451625142279,0.90015019525383,1.0,0.5,"[[    0  3324]
 [    0 29966]]",0.0003721761,0.02211015671491623,0.00035488914
25,SEX,PINCP,l-diversity,2,7000,0.0,0.0,0.04041155569449417,0.0,0.04041155569449417,0.8983478522078703,0.9464523071080448,0.8983478522078703,1.0,0.5,"[[    0  3384]
 [    0 29906]]",0.0005541788,0.059877775609493256,0.0005271317
26,SEX,PINCP,l-diversity,2,7000,0.0,0.0,0.046138161773904396,0.0,0.046138161773904396,0.8947732051667168,0.9444647018723148,0.8947732051667168,1.0,0.5,"[[    0  3503]
 [    0 29787]]",0.00038095945,0.03195416182279587,0.0003541249
27,SEX,PINCP,l-diversity,2,7000,0.0,0.0,0.036210658044168564,0.0,0.036210658044168564,0.8957044157404626,0.9449832033973505,0.8957044157404626,1.0,0.5,"[[    0  3472]
 [    0 29818]]",0.0025082922,0.31446100848766123,0.0022680294
28,SEX,PINCP,l-diversity,2,7000,0.0,0.0,0.037570380200695475,0.0,0.037570380200695475,0.8980775007509763,0.9463022457150996,0.8980775007509763,1.0,0.5,"[[    0  3393]
 [    0 29897]]",0.00479428,0.48776711598033545,0.0042107906
29,SEX,PINCP,l-diversity,2,7000,0.0,0.0,0.036617425642284984,0.0,0.036617425642284984,0.8951937518774407,0.9446989269467911,0.8951937518774407,1.0,0.5,"[[    0  3489]
 [    0 29801]]",0.00049176323,0.02497071772813797,0.00046887484
30,SEX,PINCP,l-diversity,2,7000,0.0,0.0,0.038780154374352005,0.0,0.038780154374352005,0.8935115650345449,0.9437614023954946,0.8935115650345449,1.0,0.5,"[[    0  3545]
 [    0 29745]]",0.0023749347,0.27684277296066284,0.0021724186
31,SEX,PINCP,l-diversity,2,7000,0.0,0.0,0.03731013752031498,0.0,0.03731013752031498,0.8935416040853109,0.9437781585125959,0.8935416040853109,1.0,0.5,"[[    0  3544]
 [    0 29746]]",0.0004613641,0.028643004596233368,0.0004418022
32,SEX,PINCP,l-diversity,2,7000,0.0,0.0,0.03233756089658979,0.0,0.03233756089658979,0.8947431661159507,0.9444479675312322,0.8947431661159507,1.0,0.5,"[[    0  3504]
 [    0 29786]]",0.0022612012,0.2560059428215027,0.0020469527
33,SEX,PINCP,l-diversity,2,7000,0.0,0.0,0.040796014303526085,0.0,0.040796014303526085,0.8949834785220787,0.9445818274047302,0.8949834785220787,1.0,0.5,"[[    0  3496]
 [    0 29794]]",0.0021893557,0.2380342036485672,0.0020049268
