SEED,protected_att,target,method,anon_parameter,fraction,SPD,EOD,MAD,PED,PRD,ACC,f1,Precision,Recall,ROC_AUC,CM,ASF,ALF,NCF
30,SEX,PINCP,k-anonymity,10,0.1,0.22230635666984816,0.15634978294923763,0.018380519857892352,0.12747575160281716,0.07626159569190616,0.7562030639831782,0.760547589543872,0.7451581199051859,0.7765861300234982,0.756261674608586,"[[12285  4408]
 [ 3708 12889]]",0.122264296,2.1605185477253466,0.08769131
31,SEX,PINCP,k-anonymity,10,0.1,0.22386315651074223,0.1668181032883076,0.019894301335623754,0.1314532140781388,0.06900984812524502,0.7534394713127065,0.7563957974713599,0.741864120626419,0.7715081431252648,0.753577358988853,"[[12339  4434]
 [ 3774 12743]]",0.12249515,2.8932744013520324,0.086781085
32,SEX,PINCP,k-anonymity,10,0.1,0.20590673352384703,0.15350701000097744,0.020519411488577166,0.1171625076640618,0.07186023467518254,0.750105136677681,0.7534015117830146,0.7383221008598652,0.7691097258367124,0.7502434178178612,"[[12263  4504]
 [ 3815 12708]]",0.12236957,2.8277466809812575,0.08816942
33,SEX,PINCP,k-anonymity,10,0.1,0.2349838034519417,0.17988095315370678,0.022248162251615966,0.13934607682664782,0.06615450960575597,0.7536197056173025,0.7570497630331753,0.7463933181473045,0.7680149047418715,0.7536248927649061,"[[12309  4342]
 [ 3860 12779]]",0.1222115,2.4845998287200928,0.08658326
34,SEX,PINCP,k-anonymity,10,0.1,0.22613379860074395,0.16283747195791753,0.013982421926242994,0.14401897214975246,0.0655463731919651,0.7472814659056773,0.7521140870385103,0.7306921623633137,0.7748300145701797,0.7475648467428138,"[[12114  4704]
 [ 3709 12763]]",0.12754923,2.7975713726081226,0.08896195
35,SEX,PINCP,k-anonymity,10,0.1,0.22230934843492733,0.15633148770903982,0.008345684159272393,0.14042373424649915,0.05557460209516096,0.7529888855512166,0.7545885934282389,0.7444352844187964,0.7650226928895613,0.753075020766284,"[[12425  4340]
 [ 3883 12642]]",0.12019706,2.630519390106201,0.08656776
36,SEX,PINCP,k-anonymity,10,0.1,0.24192898306195648,0.18234576255080193,0.020444049274107257,0.14395725485616964,0.06738462440442106,0.7541303694803244,0.7575030367671022,0.7498387002170215,0.7653256704980843,0.7540905453660083,"[[12321  4265]
 [ 3920 12784]]",0.116849914,2.274319887161255,0.08467978
37,SEX,PINCP,k-anonymity,10,0.1,0.23485685387916028,0.17483507617926786,0.013113160327173912,0.14680885629209123,0.05367910786508556,0.7524181435866627,0.7538378830416343,0.7502972651605232,0.7574120753811067,0.7524130379311115,"[[12428  4200]
 [ 4042 12620]]",0.1173972,3.6042380332946777,0.08476947
38,SEX,PINCP,k-anonymity,10,0.1,0.23653749282907927,0.17454022295733407,0.019927860845174505,0.13800736558837332,0.07577677221172197,0.7525382997897266,0.7550401427297055,0.7445460942997889,0.7658342381469417,0.7525916044731837,"[[12356  4356]
 [ 3882 12696]]",0.11886062,3.0327875269659046,0.084995665
39,SEX,PINCP,k-anonymity,10,0.1,0.20118686896073057,0.151935049404457,0.024685334403366288,0.1086983844821876,0.07846610471782733,0.7486632622409132,0.7528431749032581,0.7402265466163229,0.7658973434307008,0.7486705069303397,"[[12180  4472]
 [ 3895 12743]]",0.1264178,2.272101402282715,0.08728811
0,SEX,PINCP,k-anonymity,10,0.2,0.2108939662137262,0.1490317768884647,0.013870537822664564,0.11630083489092524,0.0695204665452982,0.7584109342144788,0.7575771276996579,0.75397492050159,0.7612139201017658,0.7584337335812587,"[[25362  8201]
 [ 7884 25133]]",0.120994136,2.972667464516781,0.08312706
1,SEX,PINCP,k-anonymity,10,0.2,0.2128110792866364,0.15771216484467376,0.01725845968378037,0.12056333579477646,0.06413147936708563,0.7558425953739862,0.7563330035674671,0.7523857807467493,0.7603218612500754,0.7558570800950659,"[[25095  8303]
 [ 7953 25229]]",0.120926954,2.456923484802246,0.08324555
2,SEX,PINCP,k-anonymity,10,0.2,0.2023835984905612,0.1441420902770032,0.019395521150765815,0.11057222845696663,0.07339633976435811,0.7563082006608591,0.759860874713239,0.748221989040457,0.7718675767507592,0.7563236092198415,"[[24685  8638]
 [ 7587 25670]]",0.11935067,2.7910796221689282,0.08247904
3,SEX,PINCP,k-anonymity,10,0.2,0.21739487596730145,0.16047360022610924,0.019072760933368293,0.12324409683233614,0.06542798512410941,0.757194352658456,0.7597848375880413,0.7544708729268724,0.7651741889141626,0.7571650008729037,"[[24848  8320]
 [ 7846 25566]]",0.11981614,3.127484003017218,0.08208636
4,SEX,PINCP,k-anonymity,10,0.2,0.21755992345029856,0.1603796511854093,0.01706986283527956,0.1226577090536699,0.06797008252794967,0.7558576148993692,0.7559712359820451,0.7510440281589309,0.7609635204158733,0.7558885616291291,"[[25147  8346]
 [ 7909 25178]]",0.11954296,2.577068328857422,0.08224284
5,SEX,PINCP,k-anonymity,10,0.2,0.22443257554682738,0.1633520942286949,0.01933149735281159,0.12595382659255935,0.07260904403924917,0.757179333133073,0.7593802556966172,0.7524258958855626,0.76646436726355,0.7571810063131782,"[[24902  8394]
 [ 7773 25511]]",0.12120856,2.7630343437194824,0.08337481
6,SEX,PINCP,k-anonymity,10,0.2,0.2104705914791884,0.1459205852331208,0.01348357208173756,0.1204290807141003,0.0713377386913524,0.7548513066987084,0.7565406759941529,0.7464751420245489,0.7668813692582177,0.7549306431501914,"[[24898  8613]
 [ 7709 25360]]",0.12295636,3.2353685490297255,0.08427758
7,SEX,PINCP,k-anonymity,10,0.2,0.2179486923973032,0.16363664985843873,0.01937130463191772,0.12111064413349731,0.07062430033615752,0.7560228296785821,0.7557513607794786,0.7481245534651108,0.7635352737436957,0.7561067326955275,"[[25205  8461]
 [ 7783 25131]]",0.11947209,2.744693004419108,0.082890324
8,SEX,PINCP,k-anonymity,10,0.2,0.22941450234813765,0.16810919775712052,0.01750518889957986,0.1313752964590572,0.06932577302264276,0.7564283568639231,0.7575535588811314,0.752927191679049,0.7622371310809591,0.7564372422448377,"[[25027  8314]
 [ 7903 25336]]",0.11816448,2.577034874781545,0.08218648
9,SEX,PINCP,k-anonymity,10,0.2,0.21949567521495045,0.15750132158166663,0.012020217850457593,0.1339454288309379,0.06001897995513161,0.7531841393811955,0.7544344655479012,0.7449828827765317,0.764128954139549,0.7532673388971705,"[[24904  8641]
 [ 7792 25243]]",0.12182615,2.988611181643528,0.08335665
10,SEX,PINCP,k-anonymity,10,0.2,0.22519413009532513,0.1710987260005159,0.019291180922771156,0.12984355183329038,0.06440173156506934,0.7546109942925804,0.7554411280423914,0.7514144482163063,0.7595111967252588,0.7546206901002478,"[[25008  8348]
 [ 7990 25234]]",0.12091477,2.436331789888856,0.08301167
11,SEX,PINCP,k-anonymity,10,0.2,0.23903147287928683,0.17704896125811198,0.015012257054916933,0.14966140274531334,0.05140513168142902,0.756954040252328,0.760003559457776,0.7541205556863668,0.7659790732436472,0.7569104542191675,"[[24776  8354]
 [ 7828 25622]]",0.12473134,2.6137524613476875,0.08511786
12,SEX,PINCP,k-anonymity,10,0.2,0.22543471600954545,0.16366224061900758,0.015479686398529813,0.1346934402233507,0.0629215784425935,0.757134274556924,0.7591312637788239,0.746499091814613,0.772198315049397,0.7572652584120786,"[[24929  8653]
 [ 7517 25481]]",0.12211897,2.6895161393173925,0.08323119
13,SEX,PINCP,k-anonymity,10,0.2,0.216236734800133,0.15711487448815764,0.015352432325657417,0.1272327711995841,0.06150009405288448,0.756683688795434,0.7584757133911798,0.7490723835325991,0.7681181302089625,0.7567431435171037,"[[24943  8521]
 [ 7679 25437]]",0.1209027,2.485981283196871,0.08257945
14,SEX,PINCP,k-anonymity,10,0.2,0.22465232084225323,0.1679150924745303,0.020095200931808832,0.12769601305548095,0.06835138738422986,0.756533493541604,0.758290588094954,0.7511225333805979,0.7655967722509937,0.7565546795803039,"[[24943  8425]
 [ 7785 25427]]",0.12102395,2.65598009090338,0.082767986
15,SEX,PINCP,k-anonymity,10,0.2,0.21942200118683308,0.1576368923117415,0.016757444387806353,0.12722665120616944,0.07017647317041775,0.7534995494142385,0.7567223029260918,0.7482704033771107,0.7653673163418291,0.7534781210057024,"[[24643  8587]
 [ 7825 25525]]",0.122256264,2.426843378684645,0.08355196
16,SEX,PINCP,k-anonymity,10,0.2,0.21469294007676087,0.15671626840907604,0.016828120656578127,0.12128034254511832,0.07107149106239685,0.7545959747671973,0.7547101830028073,0.7453887669770476,0.7642676882848368,0.7547110902912416,"[[25105  8586]
 [ 7753 25136]]",0.12274586,2.741000175476074,0.083559014
17,SEX,PINCP,k-anonymity,10,0.2,0.21806216404392947,0.15521606157829282,0.015682439536378934,0.12527786957045126,0.07061848183601482,0.7550315410033043,0.756835733667293,0.7481357031273027,0.7657404893353849,0.7550773454363939,"[[24888  8545]
 [ 7765 25382]]",0.122480355,2.5612270633677348,0.08375462
18,SEX,PINCP,k-anonymity,10,0.2,0.2073162561561983,0.14638621408082264,0.01643562498978557,0.11234992228762777,0.07388144495623139,0.7560979273054972,0.757239173007639,0.7537348967323374,0.76077618575591,0.7560977867708326,"[[25014  8275]
 [ 7964 25327]]",0.11656628,2.6619710668412444,0.08134915
19,SEX,PINCP,k-anonymity,10,0.2,0.23538523687533142,0.1782900893561813,0.018599763231758826,0.13467226105469532,0.0668101543520172,0.7560528687293482,0.7553694610958821,0.7544376917985438,0.7563035348051634,0.7560538736735247,"[[25262  8162]
 [ 8080 25076]]",0.12099824,2.5540342330932617,0.08336832
20,SEX,PINCP,k-anonymity,10,0.2,0.2173808113289208,0.1617714474677786,0.021256672813193767,0.12046043670351991,0.07070289835989818,0.7559176930009012,0.7581516481881092,0.7527409202399598,0.7636407243074709,0.7559023510774051,"[[24857  8367]
 [ 7884 25472]]",0.12069211,2.42503576013836,0.08295103
21,SEX,PINCP,k-anonymity,10,0.2,0.22119509385726444,0.16926107491686104,0.024091573945852596,0.1190925978091932,0.07445068982460923,0.757029137879243,0.7579199401421624,0.7518109488184301,0.7641290244711988,0.7570607740855352,"[[25079  8360]
 [ 7817 25324]]",0.12147331,2.8105025857457995,0.08337834
22,SEX,PINCP,k-anonymity,10,0.2,0.2295896368703889,0.17131174265907656,0.016647133306192607,0.1351939973418658,0.05935873851874529,0.7573295283869029,0.757791536120647,0.7549283154121864,0.7606765582207241,0.7573358505432167,"[[25148  8205]
 [ 7952 25275]]",0.1206352,2.66355562210083,0.08322349
23,SEX,PINCP,k-anonymity,10,0.2,0.20531368053046184,0.14675623106872449,0.017268037602477082,0.11243063568963826,0.07075122728055616,0.756908981676179,0.7586957494073623,0.7521579756414805,0.7653481726575425,0.7569203740143869,"[[24951  8384]
 [ 7801 25444]]",0.12262638,2.7562207276465025,0.08491086
24,SEX,PINCP,k-anonymity,10,0.2,0.2185229112119591,0.1625669373291201,0.01853259315909217,0.1222609185898283,0.06811056327195175,0.757044157404626,0.7568615662107319,0.7511934598400763,0.762615859938208,0.7570899713204714,"[[25227  8339]
 [ 7837 25177]]",0.11821623,3.3048906326293945,0.08163295
25,SEX,PINCP,k-anonymity,10,0.2,0.20588967251629153,0.14281506104665365,0.013997989636462704,0.11428582253727032,0.07404232901000962,0.7545659357164314,0.7551653356906342,0.7477375901255081,0.7627421307506054,0.754626879328791,"[[25038  8502]
 [ 7839 25201]]",0.12153691,3.2138499391346733,0.08329729
26,SEX,PINCP,k-anonymity,10,0.2,0.23188851621625606,0.1672196998957315,0.01708534927820138,0.13581774182703962,0.06970442205128957,0.757584860318414,0.7598643099446527,0.7479350946048855,0.7721802237677653,0.7576806818629933,"[[24904  8606]
 [ 7534 25536]]",0.121157154,2.8389644140872363,0.083014816
27,SEX,PINCP,k-anonymity,10,0.2,0.21465143998094788,0.1502784107757862,0.012198716292593836,0.12605615582373447,0.06135844069776697,0.7586061880444578,0.7597321054834659,0.7522870592414956,0.7673259852030802,0.7586517868642025,"[[25098  8367]
 [ 7705 25410]]",0.116779685,3.1193695068359375,0.08052765
