SEED,dataset,protected_att,target,method,k_parameter,anon_parameter,SPD,EOD,MAD,PED,PRD,ACC,f1,Precision,Recall,ROC_AUC,CM,INF

0,ACSIncome_10000,SEX,PINCP,k-anonymity,1,1,-0.03717171717171719,-0.047060138609434365,-0.025668449197861043,-0.022737857162424935,-0.02734269250106347,0.5391304347826087,0.6406779661016949,0.5869565217391305,0.7052238805970149,0.5062577736318408,"[[118 266]
 [158 378]]",5.456751146907725
0,ACSIncome_10000,SEX,PINCP,k-anonymity,2,2,0.00019013666072498214,-0.0007824726134585402,-0.008556149732620422,-0.0005479001725885446,-0.019484101384642738,0.5130434782608696,0.6241610738255033,0.5670731707317073,0.6940298507462687,0.47722325870646765,"[[100 284]
 [164 372]]",0.2604794880489832
0,ACSIncome_10000,SEX,PINCP,k-anonymity,3,3,-0.03196672608437312,-0.05466130114017442,-0.042186571598336275,-0.002986055940607635,-0.03597657129984222,0.5184782608695652,0.6503551696921863,0.5636114911080712,0.7686567164179104,0.4689637748756219,"[[ 65 319]
 [124 412]]",0.20865882009837733
0,ACSIncome_10000,SEX,PINCP,k-anonymity,4,4,-0.018538324420677377,-0.048904538341158044,-0.04824717765894232,0.021176341670547605,-0.041767540251498425,0.5152173913043478,0.6437699680511182,0.5628491620111732,0.7518656716417911,0.46838075248756217,"[[ 71 313]
 [133 403]]",0.22400484968106704
0,ACSIncome_10000,SEX,PINCP,k-anonymity,5,5,-0.04544266191325008,-0.07623518891124526,-0.05361853832442065,-0.004602361449743797,-0.04250218465559774,0.5217391304347826,0.6496815286624203,0.5666666666666667,0.7611940298507462,0.4743470149253731,"[[ 72 312]
 [128 408]]",0.2166244388773678
0,ACSIncome_10000,SEX,PINCP,k-anonymity,6,6,-0.048437314319667246,-0.0745025709814442,-0.04924539512774806,-0.014546749582226126,-0.038595148374941046,0.5217391304347826,0.6546310832025117,0.5650406504065041,0.7779850746268657,0.47102378731343286,"[[ 63 321]
 [119 417]]",0.19673022321232905
0,ACSIncome_10000,SEX,PINCP,k-anonymity,7,7,-0.07251336898395722,-0.08657500558909015,-0.04313725490196074,-0.05385858696545498,-0.028722804238518695,0.5532608695652174,0.6962305986696231,0.576499388004896,0.878731343283582,0.4888448383084577,"[[ 38 346]
 [ 65 471]]",0.09287639489980465
0,ACSIncome_10000,SEX,PINCP,k-anonymity,8,8,-0.07184789067142006,-0.08260675162083608,-0.039096850861556676,-0.057556913130427656,-0.026516069610742155,0.5554347826086956,0.6968124536693847,0.5781057810578106,0.8768656716417911,0.4918182524875622,"[[ 41 343]
 [ 66 470]]",0.09654543538233766
0,ACSIncome_10000,SEX,PINCP,k-anonymity,9,9,-0.062079619726678525,-0.06147999105745583,-0.02462269756387403,-0.06333725995123696,-0.018902217375499797,0.5608695652173913,0.7020648967551623,0.5804878048780487,0.8880597014925373,0.496113184079602,"[[ 40 344]
 [ 60 476]]",0.0929725237907129
0,ACSIncome_10000,SEX,PINCP,k-anonymity,10,10,-0.06545454545454554,-0.07159624413145538,-0.03270350564468205,-0.057556913130427656,-0.023416952349857523,0.5565217391304348,0.6977777777777778,0.5786240786240786,0.878731343283582,0.4927510883084577,"[[ 41 343]
 [ 65 471]]",0.09317764101628156
0,ACSIncome_10000,SEX,PINCP,k-anonymity,25,25,-0.04953060011883548,-0.040017885088307614,-0.014830659536541835,-0.062186669588800925,-0.013315217391304368,0.5826086956521739,0.7280453257790368,0.58675799086758,0.9589552238805971,0.5081234452736318,"[[ 22 362]
 [ 22 514]]",0.03367274722446557
0,ACSIncome_10000,SEX,PINCP,k-anonymity,50,50,-0.024289958407605505,-0.007433489827855966,-0.002376708259061222,-0.046927649782209646,-0.008998590582197985,0.5869565217391305,0.7320169252468265,0.5884353741496599,0.9682835820895522,0.5114855410447761,"[[ 21 363]
 [ 17 519]]",0.028053425936207313
0,ACSIncome_10000,SEX,PINCP,k-anonymity,75,75,0.0,0.0,-0.019203802733214426,0.0,-0.019203802733214426,0.5826086956521739,0.7362637362637363,0.5826086956521739,1.0,0.5,"[[  0 384]
 [  0 536]]",0.0
0,ACSIncome_10000,SEX,PINCP,k-anonymity,100,100,0.0,0.0,-0.019203802733214426,0.0,-0.019203802733214426,0.5826086956521739,0.7362637362637363,0.5826086956521739,1.0,0.5,"[[  0 384]
 [  0 536]]",0.0
